#,group,title,issuer,via,date,year,award,detail,verify,file
,"Specializations","Blockchain Specialization","University at Buffalo, The State University of New York","Coursera","Jan 2026",2026,,"Four courses covering encryption, hashing, consensus, transactions, blocks and public-key cryptography; designing, developing and testing smart contracts and decentralised applications on a private Ethereum blockchain; the decentralised application stack, emerging standards, scalability and privacy.","https://coursera.org/verify/specialization/ZMBWVBZJ88F9","/assets/files/certificates/Coursera_Blockchain_Certification.pdf"
,"Blockchain and Web3","Blockchain Platforms","University at Buffalo, SUNY","Coursera","Jan 2026",2026,,,"https://coursera.org/verify/EWLU6AF8YTJN","/assets/files/certificates/Coursera_blockchainplatforms_2026.pdf"
,"Blockchain and Web3","Decentralized Applications (Dapps)","University at Buffalo, SUNY","Coursera","Jan 2026",2026,,,"https://coursera.org/verify/GC82B272HHHX","/assets/files/certificates/Coursera_dapps_2026.pdf"
,"Blockchain and Web3","Smart Contracts","University at Buffalo, SUNY","Coursera","Nov 2025",2025,,,"https://coursera.org/verify/01BB4FGNLG67","/assets/files/certificates/Coursera_smartcontracts_2025.pdf"
,"Blockchain and Web3","Blockchain Basics","University at Buffalo, SUNY","Coursera","Oct 2025",2025,,,"https://coursera.org/verify/TX520E9EJQKZ","/assets/files/certificates/Coursera_blockchainbasics_2025.pdf"
,"Web and mobile development","Working with Data","Meta","Coursera","Jul 2023",2023,,,"https://coursera.org/verify/J6T3635SL3YC","/assets/files/certificates/Coursera_workingwithdata_2023.pdf"
,"Web and mobile development","React Native","Meta","Coursera","May 2023",2023,,,"https://coursera.org/verify/5AMAM9A3XSPG","/assets/files/certificates/Coursera_reactnative_2023.pdf"
,"Web and mobile development","React Basics","Meta","Coursera","Apr 2023",2023,,,"https://coursera.org/verify/NLAQ8K6DNFWN","/assets/files/certificates/Coursera_reactbasics_2023.pdf"
,"Web and mobile development","Introduction to Mobile Development","Meta","Coursera","Feb 2023",2023,,,"https://coursera.org/verify/XPN7WKWKDD6Q","/assets/files/certificates/Coursera_introtomobiledev_2023.pdf"
,"Data science and machine learning","Pandas","Kaggle",,"Sep 2021",2021,,,,"/assets/files/certificates/Owais__Pandas.png"
,"Data science and machine learning","Intermediate Machine Learning","Kaggle",,"Sep 2021",2021,,,,"/assets/files/certificates/Owais__Intermediate_Machine_Learning.png"
,"Data science and machine learning","Intro to SQL","Kaggle",,"Sep 2021",2021,,,,"/assets/files/certificates/Owais__Intro_to_SQL.png"
,"Data science and machine learning","Python","Kaggle",,"Sep 2021",2021,,,,
,"Data science and machine learning","Intro to Machine Learning","Kaggle",,"Sep 2021",2021,,,,"/assets/files/certificates/Owais__Intro_to_Machine_Learning.png"
,"Data science and machine learning","R Programming","Johns Hopkins University","Coursera","May 2014",2014,,"Programming in R for effective data analysis: reading data, packages, writing functions, debugging, profiling, and organising R code.",,"/assets/files/certificates/Coursera_rprog_2014.pdf"
,"Data science and machine learning","Introduction to Data Science","University of Washington","Coursera","Oct 2014",2014,"With Distinction","Relational databases, MapReduce, NoSQL, statistical modelling, machine learning, information visualisation and algorithmic topics.",,"/assets/files/certificates/Coursera_datasci_2014.pdf"
,"Data science and machine learning","Social and Economic Networks: Models and Analysis","Stanford University","Coursera","Mar 2014",2014,,"Graduate-level course on random graph models, statistical models and game-theoretic models of network formation, diffusion, learning and peer effects.",,"/assets/files/certificates/Coursera_networksonline_2014.pdf"
,"Conferences and workshops","Complex Networks and Their Applications (CNA) 2021","Attendance certificate",,"2021",2021,,,,
,"Conferences and workshops","Strategic Time Management Workshop","Timelenders, Karachi University Business School",,"Nov 2015",2015,,,,
,"Conferences and workshops","Strategic Visions Workshop","Timelenders, Rangoonwala Community Center, Karachi",,"Jan 2013",2013,,,,
