#,status,role,org,location,start,end,tenure,summary,highlights
1,current,Chief Technology Officer,TechThree.io,Turkey (remote),May 2024,present,,"TechThree.io works on Web3 and AI — computer vision, chatbots and text mining.","Directly leading development of components involving machine learning.; Defining and implementing IT strategy and driving IT functions across the organisation.; Reviewing and aligning product objectives with the organisation's strategic vision.; Overseeing software development, QA, business analysis, design and cloud operations.; Transforming the IT team to work with Agile methodology."
2,current,Associate Professor,Karachi Institute of Economics and Technology,"Karachi, Pakistan",September 2025,present,,Teaching and curriculum work in the Software Engineering programme.,Aligned the BS Software Engineering curriculum with current academic requirements.; Teaching core courses alongside industry-focused electives including web and mobile application development and Agile methodology.
3,current,Co-founder,Esquared Systems (Pvt.) Ltd.,"Karachi, Pakistan",April 2022,present,,A small company fusing data science and health informatics.,"Leading company strategy, delivery and technical direction."
4,past,ETL Consultant,Dept. of Health (KMITS),Philippines,Nov 2021,Dec 2022,,,
5,past,Chief Information Officer,IHS (Pvt.) Ltd.,,Jul 2020,Sep 2021,,,
6,past,Software Architect,IHS (Pvt.) Ltd.,,Oct 2018,Jun 2020,,,
7,past,Senior Software Engineer & Team Lead,IHS (Pvt.) Ltd.,,Oct 2013,Sep 2018,,,
8,past,Senior Software Engineer,Interactive Research & Development,,Sep 2012,Dec 2012,,,
9,past,Senior Software Engineer,IHS (Pvt.) Ltd.,,Jan 2012,Sep 2012,,,
10,past,Software Engineer,Interactive Research & Development,,Mar 2010,Aug 2012,,,
11,past,Software Developer,Integral Solutions (Pvt.) Ltd.,Pakistan,,,,2 years 4 months,,
12,past,Software Support Engineer,Nawras Telecom,Oman,,,,3 weeks,,
13,past,Intern,Dovrak Solutions,,,,4 weeks,,
14,past,Computer Teacher,Rose Petal Grammar School,,,,4 months,,
15,past,Designer & Composer,Al-Fareed Document Centre,,,,6 months,,
16,past,Graphics Designer & Maintenance In-charge,Prince Studio,,,,6 months,,
17,past,Volunteer,Indus Institute of Higher Education,,,,3 months,,
18,past,Document Composer,Techno Composing Centre,,,,2 months,,
19,past,Studio Operator,M. H. Studio,,,,2 months,,
