#,year,status,title,venue,authors,tags,url
1,,In progress,Bubsy: a multi-model pipeline for detecting spam and FUD attacks in Web3 communities,TBD,"Jenjo, Khurum",Web3; NLP; security,
2,,In progress,MCMC Model for Time-decaying Information Diffusion in Large Complex Networks,TBD,,Web3; NLP; security,
3,2024,,IMine: a customizable framework for influence mining in complex networks,Advances in Complex Systems,"Bin Ahmed, Maaz; Zaidi, Faraz",influence mining; complex networks,
4,2024,,"Insights into tuberculosis burden in Karachi, Pakistan: a concurrent adult tuberculosis prevalence and child Mycobacterium tuberculosis infection survey",PLOS Global Public Health,"Khan, Palwasha; and 18 more",public health; tuberculosis,
5,2023,,Multi-model deep learning approach for segmentation of teeth and periapical pathology on orthopantomograms,"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology","Adnan, Niha; Umer, Fahad",deep learning; medical imaging,
6,2023,,Development and feasibility testing of an artificially intelligent chatbot to answer immunization-related queries of caregivers in Pakistan,International Journal of Medical Informatics,"Siddiqui, Danya A.; Miraj, Fatima; et al.",NLP; health informatics,
7,2022,,Benchmarking influential nodes in complex networks,Advances in Complex Systems,"Bin Ahmad, Maaz; Zaidi, Faraz",influence mining; complex networks,
8,2021,,Influence maximization in complex networks through supervised machine learning,Complex Networks,"Zaidi, Faraz",influence mining; machine learning,
9,2019,,"Analyzing diversity, strength and centrality of cities using networks of multinational firms",Networks and Spatial Economics,"Zaidi, Faraz",network science,
10,2018,,Using predictive analytics to identify children at high risk of defaulting from a routine immunization program: feasibility study,Journal of Medical Internet Research,"Chandir, Subhash; Siddiqi, Danya A.; Niazi, Tahira; Habib, Ali; et al.",predictive analytics; public health,
11,2018,,Predicting treatment outcome of drug-susceptible tuberculosis patients using machine learning models,Informatics for Health and Social Care,"Junejo, Khurram N.",machine learning; tuberculosis,
12,2014,,"An evaluation of systematic tuberculosis screening at private facilities in Karachi, Pakistan",PLoS One,"Khowaja, Saira; Rasheed, Erum; Khan, Mubashir; Khan, Faisal S.",public health; tuberculosis,
13,2013,,Empirical analysis of seed selection criterion in influence mining for different classes of networks,3rd International Conference on Social Computing and its Applications,"Saleem, Sajid; Zaidi, Faraz",influence mining; complex networks,
