#,slug,title,org,year,order,featured,tags,country,summary,detail,url_external
,"nextgpu","NextGPU","TechThree","2026",2026,"yes","Web3; infrastructure; GPU","tr","Peer-to-peer private GPU sharing platform.","NextGPU is a platform that lets people rent out spare GPU computing power to each other. A provider with a machine to spare can offer it up, and a consumer needing GPU power can rent it, paid for with the platform's own token. It includes a hardware-benchmarking agent, wallet-based login, and an AI service built on OpenAI's API.

**Stack:** Java Spring Boot (multi-module Gradle), PostgreSQL, OpenAI API, Web3, WSL, Docker, Bouncy Castle.",
,"bubsy","Bubsy","TechThree","2024–25",2024,"yes","AI; NLP; Web3; security","tr","An AI-driven moderation bot for Web3 and crypto communities on Telegram, detecting spam and bad-faith messages and verifying new members.",,
,"etica-etb","ETICA-eTB","Abt Associates","2023",2023,"yes","health informatics; ETL; MDR-TB","tj","National MDR-TB system for Tajikistan, integrated with the QuaLIS laboratory system.","A national register for multidrug-resistant tuberculosis in Tajikistan,
including two-way integration with the QuaLIS laboratory information system so
that lab results flow into the clinical record without manual re-entry.",
,"itis-dw","ITIS-DW","KMITS, Department of Health, Philippines","2022",2022,"yes","data warehouse; health informatics; ETL","ph","Data warehouse for the Knowledge Management wing of the Department of Health, Philippines, managing the national TB/HIV programme.","A national data warehouse consolidating TB and HIV programme data for the
Knowledge Management wing of the Philippine Department of Health, with ETL
pipelines from multiple provincial source systems and a reporting layer for
programme managers.

**Stack:** Talend, SQL, JasperReports.",
,"hydra","Hydra","The Indus Hospital, IHS","2019–21",2021.1,"no","health informatics; screening","pk","A 360 degree, configurable platform for managing tuberculosis, from screening through diagnosis and treatment.","Hydra is a complete, configure-only product for public health projects, using OpenMRS as its backend. Modules behind it manage assets, events, fields, forms and locations, giving programmes a zero-code, end-to-end patient record covering screening, diagnosis and treatment. An Android app, branded ""Indus Project"" in one build, is the field-facing side.

**Stack:** Native Android, Java, OpenMRS.",
,"bahmni-sync","Bahmni Sync","Burnet Institute","2021",2021,"no","open source; EMR; distributed systems","au","A module of the flagship open-source EMR product Bahmni that synchronises multiple instances in a distributed deployment.","Bahmni is a widely deployed open-source hospital and clinic management system. Bahmni Sync is a pair of OpenMRS modules, a master module and a worker module, that keep multiple Bahmni installations in sync in a distributed, sometimes offline deployment. It captures database changes on each node with Debezium and Kafka, then reconciles them between a master server and worker servers.

**Stack:** Java, OpenMRS module framework, Maven, Debezium, Kafka, ZooKeeper, MySQL.",
,"aagahi","Aagahi","Aahung","2019",2019,"no","health informatics; monitoring and evaluation","pk","A data collection and monitoring system for Aahung, supporting life skills education and reproductive health work.","Aagahi is a data management system built for Aahung, a Pakistani NGO that focuses on Life Skills Based Education, supporting teachers and schools in providing age-appropriate health and personal development education. Aahung also works to improve how healthcare professionals handle sensitive sexual and reproductive health issues. The system lets the organisation collect and manage structured data through custom forms, track locations, people and donors, and generate reports.

**Stack:** Java, Spring, MySQL, React, native Android.",
,"bablibot","Bablibot","MCH, IRD Global","2018",2018,"no","NLP; chatbot; immunisation","pk","An SMS and WhatsApp chatbot built on TensorFlow that used NLP to answer frequent questions asked in Roman Urdu by parents vaccinating their children.","Bablibot was a chatbot built for Zindagi Mehfooz, an early maternal and child healthcare immunisation programme running in multiple provinces in Pakistan. Caregivers bringing children for routine immunisation have a predictable set of questions (schedules, side effects, what to do after a missed dose) and often no easy way to ask them. Bablibot answered those questions over SMS and WhatsApp in Roman Urdu, using natural language processing.

A feasibility study of this work was published in the *International Journal of Medical Informatics*: see [Research](/founder/research/).

**Stack:** Python, Django, MongoDB, TensorFlow, tflearn, Keras, NLTK, scikit-learn, Docker.",
,"aao-tb-mitao","Aao TB Mitao","The Indus Hospital, IHS","2016–20",2016,"yes","public health; tuberculosis; screening","pk","The largest private intervention to counter tuberculosis in the community using mass screening strategies.",,
,"mine-tb","MINE-TB","IRD South Africa",,2015,"no","public health; tuberculosis","za","Deployed in South Africa to find TB cases among mine workers.","MINE-TB was TB REACH's fourth wave in Port Shepstone, South Africa. It worked to reduce the tuberculosis burden among mine workers, an unusually high-risk population, by involving community mobilisers directly in active case finding.

**Stack:** Java, GWT, MySQL, native Android, OpenMRS.",
,"xpertsms","XpertSMS","IHS","2014",2014.1,"no","health informatics; messaging","pk","A messaging system for GeneXpert® diagnostic machines that broadcasts test results over SMS and the web.","XpertSMS connects to the GeneXpert Dx diagnostic machine and sends results wherever they're needed: by SMS, to OpenMRS, to GxAlert, or as CSV files. It has a desktop client that talks to the machine directly, and a separate web dashboard built on Google Web Toolkit.

**Stack:** Core Java, Swing desktop client, GWT, MySQL.",
,"tb-reach-4-pakistan","TB REACH 4 (Pakistan)","IRD","2014",2014,"no","public health; tuberculosis","pk","Reducing the burden of tuberculosis in rural Sindh, with a focus on children.","The fourth wave of TB REACH in Pakistan. It targeted tuberculosis and drug-resistant tuberculosis in rural Sindh through contact tracing of adult cases and reverse contact tracing of paediatric cases.

**Stack:** Java, GWT, MySQL, native Android, OpenMRS.",
,"sehatmand-zindagi","Sehatmand Zindagi","IRD","2014–19",2014.8,"no","public health; tuberculosis","pk;bd;tj;tz","Part of TB REACH, paying conditional cash transfers to General Practitioners and community mobilisers to increase TB case detection and case holding.","Sehatmand Zindagi is [TB REACH](/founder/projects/tb-reach/)'s third wave. It paid conditional cash transfers to General Practitioners and community mobilisers to increase case detection and case holding, with case detection, case holding, reporting and event-alert modules. It ran separately in Pakistan, Bangladesh, Tajikistan and Tanzania. The Pakistan deployment was the largest, adding its own barcode generator for patient IDs, a data warehouse, a GWT-based field-monitoring web app, a sync tool for a third-party lab system and a dynamic reporting web app.

**Stack:** Java, GWT, MySQL, native Android, OpenMRS.",
,"tb-reach-kenya","TB REACH Kenya","IRD","2012",2012.1,"no","public health; tuberculosis; mobile","ke","A mobile and web-based implementation of TB REACH in Kenya.","A port of the TB REACH model to Kenya, delivered as a mobile and web
application.

**Stack:** Java, GWT, MySQL, native Android, OpenMRS.",
